Sucess Rate,,,,52,8,9,10,10,14,12,20,19,13,19,,Guild members ,50,,Average Success Rate,0.813099042
38%,Rensalaer,3,8,yes,no,n/a,no,n/a,no,no,no,yes,yes,yes,,,,,,
43%,Akbahr,3,7,yes,yes,no,n/a,n/a,no,n/a,no,yes,no,yes,,,,,,
43%,Yania May,3,7,yes,n/a,no,n/a,n/a,yes,no,yes,yes,no,no,,,,,,
40%,Zick,2,5,yes,n/a,no,n/a,n/a,yes,n/a,n/a,no,yes,no,,,,,,
20%,Laseracid,1,5,yes,n/a,n/a,n/a,n/a,n/a,no,no,no,no,yes,,,,,,
0%,Digolo Doorjam,0,6,yes,n/a,n/a,n/a,no,n/a,no,no,no,no,no,,,,,,
50%,Pflapjack,1,2,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,no,,,,,,
0%,Yodizzle,0,3,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,no,no,,,,,,
100%,TheMonkeyBuddha,3,3,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,yes,,,,,,
100%,CT69420,2,2,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,yes,,,,,,
0%,Ransom23,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Mc,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Falen Lacer,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Aceth,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Mugami Chinzano,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Skcampy,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Grogu,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,PaulB086,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,FateHydro,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Excelsior 101,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Uhrrr ahhrrr aaargh,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,DonKeyHoeTae,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,C2,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Mr Blargh,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,DocWho619,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Saki,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Rh Factor,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,JangosJuggs,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Reaper1010,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,SecretId,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,A1Savage,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
0%,Thessa Odai,0,0,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,
